awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1985,Literature,The Nobel Prize in  Literature,1,1,1800000,3843964,NA,received,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1985,662,Claude Simon,Claude Simon,Claude,Simon,Claude Simon,NA,male,http://masterdataapi.nobelprize.org/2/laureate/662,1913-10-10,Tananarive,Antananarivo,Africa,Madagascar,Madagascar,"Tananarive (now Antananarivo), Madagascar",2005-07-06,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1986,Literature,The Nobel Prize in  Literature,1,1,2000000,4098361,NA,received,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1986,663,Wole Soyinka,Wole Soyinka,Wole,Soyinka,Wole Soyinka,NA,male,http://masterdataapi.nobelprize.org/2/laureate/663,1934-07-13,Abeokuta,Abeokuta,Africa,Nigeria,Nigeria,"Abeokuta, Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Nigeria,NA,NA,NA,NA,NA
1987,Literature,The Nobel Prize in  Literature,1,1,2175000,4274764,NA,received,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1987,664,Joseph Brodsky,Joseph Brodsky,Joseph,Brodsky,Joseph Brodsky,NA,male,http://masterdataapi.nobelprize.org/2/laureate/664,1940-05-24,Leningrad,St. Petersburg,Europe,USSR,Russia,"Leningrad, USSR (now St. Petersburg, Russia)",1996-01-28,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1988,Literature,The Nobel Prize in  Literature,1,1,2500000,4645689,NA,received,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1988,665,Naguib Mahfouz,Naguib Mahfouz,Naguib,Mahfouz,Naguib Mahfouz,NA,male,http://masterdataapi.nobelprize.org/2/laureate/665,1911-12-11,Cairo,Cairo,Africa,Egypt,Egypt,"Cairo, Egypt",2006-08-30,Cairo,Cairo,Africa,Egypt,Egypt,"Cairo, Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Egypt,NA,NA,NA,NA,NA
1989,Literature,The Nobel Prize in  Literature,1,1,3000000,5242311,NA,received,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1989,666,Camilo José Cela,Camilo José Cela,Camilo José,Cela,Camilo José Cela,NA,male,http://masterdataapi.nobelprize.org/2/laureate/666,1916-05-11,Iria Flavia,Iria Flavia,Europe,Spain,Spain,"Iria Flavia, Spain",2002-01-17,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Spain,NA,NA,NA,NA,NA
1990,Literature,The Nobel Prize in  Literature,1,1,4000000,6329114,NA,received,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1990,667,Octavio Paz,Octavio Paz,Octavio,Paz,Octavio Paz,NA,male,http://masterdataapi.nobelprize.org/2/laureate/667,1914-03-31,Mexico City,Mexico City,North America,Mexico,Mexico,"Mexico City, Mexico",1998-04-19,Mexico City,Mexico City,North America,Mexico,Mexico,"Mexico City, Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Mexico,NA,NA,NA,NA,NA
1991,Literature,The Nobel Prize in  Literature,1,1,6000000,8673863,NA,received,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1991,668,Nadine Gordimer,Nadine Gordimer,Nadine,Gordimer,Nadine Gordimer,NA,female,http://masterdataapi.nobelprize.org/2/laureate/668,1923-11-20,Springs,Springs,Africa,South Africa,South Africa,"Springs, South Africa",2014-07-13,Johannesburg,Johannesburg,Africa,South Africa,South Africa,"Johannesburg, South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,South Africa,NA,NA,NA,NA,NA
1992,Literature,The Nobel Prize in  Literature,1,1,6500000,9184250,NA,received,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1992,669,Derek Walcott,Derek Walcott,Derek,Walcott,Derek Walcott,NA,male,http://masterdataapi.nobelprize.org/2/laureate/669,1930-01-23,Castries,Castries,North America,Saint Lucia,Saint Lucia,"Castries, Saint Lucia",2017-03-17,Gros-Islet,Gros-Islet,North America,Saint Lucia,Saint Lucia,"Gros-Islet, Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Saint Lucia,NA,NA,NA,NA,NA
1993,Literature,The Nobel Prize in  Literature,1,1,6700000,9044276,NA,received,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1993,670,Toni Morrison,Toni Morrison,Toni,Morrison,Toni Morrison,NA,female,http://masterdataapi.nobelprize.org/2/laureate/670,1931-02-18,"Lorain, OH","Lorain, OH",North America,USA,USA,"Lorain, OH, USA",2019-08-05,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1994,Literature,The Nobel Prize in  Literature,1,1,7000000,9249471,NA,received,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1994,671,Kenzaburo Oe,Kenzaburo Oe,Kenzaburo,Oe,Kenzaburo Oe,NA,male,http://masterdataapi.nobelprize.org/2/laureate/671,1935-01-31,Uchiko,Uchiko,Asia,Japan,Japan,"Uchiko, Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Japan,NA,NA,NA,NA,NA
1995,Literature,The Nobel Prize in  Literature,1,1,7200000,9278351,NA,received,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1995,672,Seamus Heaney,Seamus Heaney,Seamus,Heaney,Seamus Heaney,NA,male,http://masterdataapi.nobelprize.org/2/laureate/672,1939-04-13,Casteldàwson,Casteldàwson,Europe,Northern Ireland,Northern Ireland,"Casteldàwson, Northern Ireland",2013-08-30,Dublin,Dublin,Europe,Ireland,Ireland,"Dublin, Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Ireland,NA,NA,NA,NA,NA
1996,Literature,The Nobel Prize in  Literature,1,1,7400000,9490424,NA,received,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1996,673,Wislawa Szymborska,Wislawa Szymborska,Wislawa,Szymborska,Wislawa Szymborska,NA,female,http://masterdataapi.nobelprize.org/2/laureate/673,1923-07-02,Bnin,Kórnik,Europe,Poland,Poland,"Bnin (now Kórnik), Poland",2012-02-01,Kraków,Kraków,Europe,Poland,Poland,"Kraków, Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Poland,NA,NA,NA,NA,NA
1997,Literature,The Nobel Prize in  Literature,1,1,7500000,9572839,NA,received,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1997,674,Dario Fo,Dario Fo,Dario,Fo,Dario Fo,NA,male,http://masterdataapi.nobelprize.org/2/laureate/674,1926-03-24,Leggiuno-Sangiano,Leggiuno-Sangiano,Europe,Italy,Italy,"Leggiuno-Sangiano, Italy",2016-10-13,Milan,Milan,Europe,Italy,Italy,"Milan, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1998,Literature,The Nobel Prize in  Literature,1,1,7600000,9713701,NA,received,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1998,675,José Saramago,José Saramago,José,Saramago,José Saramago,NA,male,http://masterdataapi.nobelprize.org/2/laureate/675,1922-11-16,Azinhaga,Azinhaga,Europe,Portugal,Portugal,"Azinhaga, Portugal",2010-06-18,Lanzarote,Lanzarote,Europe,Spain,Spain,"Lanzarote, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Portugal,NA,NA,NA,NA,NA
1999,Literature,The Nobel Prize in  Literature,1,1,7900000,10049186,NA,received,whose frolicsome black fables portray the forgotten face of history,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1999,676,Günter Grass,Günter Grass,Günter,Grass,Günter Grass,NA,male,http://masterdataapi.nobelprize.org/2/laureate/676,1927-10-16,Danzig,Gdansk,Europe,Free City of Danzig,Poland,"Danzig, Free City of Danzig (now Gdansk, Poland)",2015-04-13,Lübeck,Lübeck,Europe,Germany,Germany,"Lübeck, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
2000,Literature,The Nobel Prize in  Literature,1,1,9000000,11333109,2000-10-12,received,"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2000,734,Gao Xingjian,Gao Xingjian,Xingjian,Gao,Gao Xingjian,NA,male,http://masterdataapi.nobelprize.org/2/laureate/734,1940-01-04,Ganzhou,Ganzhou,Asia,China,China,"Ganzhou, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
2001,Literature,The Nobel Prize in  Literature,1,1,10000000,12295082,2001-10-11,received,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2001,747,V. S. Naipaul,V. S. Naipaul,V. S.,Naipaul,Sir Vidiadhar Surajprasad Naipaul,NA,male,http://masterdataapi.nobelprize.org/2/laureate/747,1932-08-17,Chaguanas,Chaguanas,North America,Trinidad and Tobago,Trinidad and Tobago,"Chaguanas, Trinidad and Tobago",2018-08-11,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
2002,Literature,The Nobel Prize in  Literature,1,1,10000000,12034660,2002-10-10,received,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2002,761,Imre Kertész,Imre Kertész,Imre,Kertész,Imre Kertész,NA,male,http://masterdataapi.nobelprize.org/2/laureate/761,1929-11-09,Budapest,Budapest,Europe,Hungary,Hungary,"Budapest, Hungary",2016-03-31,Budapest,Budapest,Europe,Hungary,Hungary,"Budapest, Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Hungary,NA,NA,NA,NA,NA
2003,Literature,The Nobel Prize in  Literature,1,1,10000000,11807305,2003-10-02,received,who in innumerable guises portrays the surprising involvement of the outsider,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2003,763,J. M. Coetzee,J. M. Coetzee,J. M.,Coetzee,John M. Coetzee,NA,male,http://masterdataapi.nobelprize.org/2/laureate/763,1940-02-09,Cape Town,Cape Town,Africa,South Africa,South Africa,"Cape Town, South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,South Africa,NA,NA,NA,NA,NA
2004,Literature,The Nobel Prize in  Literature,1,1,10000000,11762861,2004-10-07,received,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2004,782,Elfriede Jelinek,Elfriede Jelinek,Elfriede,Jelinek,Elfriede Jelinek,NA,female,http://masterdataapi.nobelprize.org/2/laureate/782,1946-10-20,Mürzzuschlag,Mürzzuschlag,Europe,Austria,Austria,"Mürzzuschlag, Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Austria,NA,NA,NA,NA,NA
2005,Literature,The Nobel Prize in  Literature,1,1,10000000,11711430,2005-10-13,received,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2005,801,Harold Pinter,Harold Pinter,Harold,Pinter,Harold Pinter,NA,male,http://masterdataapi.nobelprize.org/2/laureate/801,1930-10-10,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",2008-12-24,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
2006,Literature,The Nobel Prize in  Literature,1,1,10000000,11552680,2006-10-12,received,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2006,808,Orhan Pamuk,Orhan Pamuk,Orhan,Pamuk,Orhan Pamuk,NA,male,http://masterdataapi.nobelprize.org/2/laureate/808,1952-06-07,Istanbul,Istanbul,Asia,Turkey,Turkey,"Istanbul, Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Turkey,NA,NA,NA,NA,NA
2007,Literature,The Nobel Prize in  Literature,1,1,10000000,11301989,2007-10-11,received,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2007,817,Doris Lessing,Doris Lessing,Doris,Lessing,Doris Lessing,NA,female,http://masterdataapi.nobelprize.org/2/laureate/817,1919-10-22,Kermanshah,Kermanshah,Asia,Persia,Iran,"Kermanshah, Persia (now Iran)",2013-11-17,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
2008,Literature,The Nobel Prize in  Literature,1,1,10000000,10926573,2008-10-09,received,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2008,832,Jean-Marie Gustave Le Clézio,Jean-Marie Gustave Le Clézio,Jean-Marie Gustave,Le Clézio,Jean-Marie Gustave Le Clézio,NA,male,http://masterdataapi.nobelprize.org/2/laureate/832,1940-04-13,Nice,Nice,Europe,France,France,"Nice, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,Mauritius,NA,NA,NA,NA
2009,Literature,The Nobel Prize in  Literature,1,1,10000000,10958504,2009-10-08,received,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2009,844,Herta Müller,Herta Müller,Herta,Müller,Herta Müller,NA,female,http://masterdataapi.nobelprize.org/2/laureate/844,1953-08-17,"Nitzkydorf, Banat","Nitzkydorf, Banat",Europe,Romania,Romania,"Nitzkydorf, Banat, Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
2010,Literature,The Nobel Prize in  Literature,1,1,10000000,10819388,2010-10-07,received,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2010,854,Mario Vargas Llosa,Mario Vargas Llosa,Mario,Vargas Llosa,Mario Vargas Llosa,NA,male,http://masterdataapi.nobelprize.org/2/laureate/854,1936-03-28,Arequipa,Arequipa,South America,Peru,Peru,"Arequipa, Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,NA,NA,NA,NA,NA,NA
2011,Literature,The Nobel Prize in  Literature,1,1,10000000,10545557,2011-10-06,received,"because, through his condensed, translucent images, he gives us fresh access to reality",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2011,868,Tomas Tranströmer,Tomas Tranströmer,Tomas,Tranströmer,Tomas Tranströmer,NA,male,http://masterdataapi.nobelprize.org/2/laureate/868,1931-04-15,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",2015-03-26,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
2012,Literature,The Nobel Prize in  Literature,1,1,8000000,8361204,2012-10-11,received,"who with hallucinatory realism merges folk tales, history and the contemporary",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2012,880,Mo Yan,Mo Yan,Mo,Yan,Mo Yan,(pen-name of Guan Moye),male,http://masterdataapi.nobelprize.org/2/laureate/880,1955-02-02,Gaomi,Gaomi,Asia,China,China,"Gaomi, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,China,NA,NA,NA,NA,NA
2013,Literature,The Nobel Prize in  Literature,1,1,8000000,8365867,2013-10-10,received,master of the contemporary short story,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2013,892,Alice Munro,Alice Munro,Alice,Munro,Alice Munro,NA,female,http://masterdataapi.nobelprize.org/2/laureate/892,1931-07-10,Wingham,Wingham,North America,Canada,Canada,"Wingham, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Canada,NA,NA,NA,NA,NA
2014,Literature,The Nobel Prize in  Literature,1,1,8000000,8379888,2014-10-09,received,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2014,912,Patrick Modiano,Patrick Modiano,Patrick,Modiano,Patrick Modiano,NA,male,http://masterdataapi.nobelprize.org/2/laureate/912,1945-07-30,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
2015,Literature,The Nobel Prize in  Literature,1,1,8000000,8384572,2015-10-08,received,"for her polyphonic writings, a monument to suffering and courage in our time",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2015,924,Svetlana Alexievich,Svetlana Alexievich,Svetlana,Alexievich,Svetlana Alexievich,NA,female,http://masterdataapi.nobelprize.org/2/laureate/924,1948-05-31,Ivano-Frankivsk,Ivano-Frankivsk,Europe,Ukraine,Ukraine,"Ivano-Frankivsk, Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Belarus,NA,NA,NA,NA,NA
2016,Literature,The Nobel Prize in  Literature,1,1,8000000,8301051,2016-10-13,received,for having created new poetic expressions within the great American song tradition,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2016,937,Bob Dylan,Bob Dylan,Bob,Dylan,Bob Dylan,NA,male,http://masterdataapi.nobelprize.org/2/laureate/937,1941-05-24,"Duluth, MN","Duluth, MN",North America,USA,USA,"Duluth, MN, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,NA,NA,NA,NA,NA,NA
2017,Literature,The Nobel Prize in  Literature,1,1,9000000,9176183,2017-10-05,received,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2017,947,Kazuo Ishiguro,Kazuo Ishiguro,Kazuo,Ishiguro,Kazuo Ishiguro,NA,male,http://masterdataapi.nobelprize.org/2/laureate/947,1954-11-08,Nagasaki,Nagasaki,Asia,Japan,Japan,"Nagasaki, Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,NA,NA,NA,NA,NA,NA
2018,Literature,The Nobel Prize in  Literature,1,1,9000000,9000000,2019-10-10,received,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2018,979,Olga Tokarczuk,Olga Tokarczuk,Olga,Tokarczuk,Olga Tokarczuk,NA,female,http://masterdataapi.nobelprize.org/2/laureate/979,1962-01-29,Sulechów,Sulechów,Europe,Poland,Poland,"Sulechów, Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,"Wroclaw, Poland",NA,NA,NA,NA,NA
2019,Literature,The Nobel Prize in  Literature,1,1,9000000,9000000,2019-10-10,received,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2019,980,Peter Handke,Peter Handke,Peter,Handke,Peter Handke,NA,male,http://masterdataapi.nobelprize.org/2/laureate/980,1942-12-06,Griffen,Griffen,Europe,Austria,Austria,"Griffen, Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,"Chaville, France",NA,NA,NA,NA,NA
